,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27,Month
84,2010-02-01,DL,67,ATL,DFW,1620,1619.0,-1.0,18.0,1637.0,1746.0,5.0,1756,1751.0,-5.0,0.0,,0.0,156.0,152.0,129.0,732.0,,,,,,,02
85,2010-02-01,DL,1923,ATL,DFW,1508,1521.0,13.0,20.0,1541.0,1640.0,5.0,1638,1645.0,7.0,0.0,,0.0,150.0,144.0,119.0,732.0,,,,,,,02
86,2010-02-01,DL,1927,ATL,DFW,1735,1731.0,-4.0,22.0,1753.0,1853.0,6.0,1906,1859.0,-7.0,0.0,,0.0,151.0,148.0,120.0,732.0,,,,,,,02
87,2010-02-02,DL,67,ATL,DFW,1620,1615.0,-5.0,20.0,1635.0,1737.0,11.0,1756,1748.0,-8.0,0.0,,0.0,156.0,153.0,122.0,732.0,,,,,,,02
88,2010-02-02,DL,1923,ATL,DFW,1508,1513.0,5.0,22.0,1535.0,1634.0,3.0,1638,1637.0,-1.0,0.0,,0.0,150.0,144.0,119.0,732.0,,,,,,,02
89,2010-02-02,DL,1927,ATL,DFW,1735,1729.0,-6.0,19.0,1748.0,1850.0,11.0,1906,1901.0,-5.0,0.0,,0.0,151.0,152.0,122.0,732.0,,,,,,,02
90,2010-02-03,DL,67,ATL,DFW,1620,1618.0,-2.0,16.0,1634.0,1738.0,4.0,1756,1742.0,-14.0,0.0,,0.0,156.0,144.0,124.0,732.0,,,,,,,02
91,2010-02-03,DL,1923,ATL,DFW,1508,1505.0,-3.0,17.0,1522.0,1615.0,7.0,1640,1622.0,-18.0,0.0,,0.0,152.0,137.0,113.0,732.0,,,,,,,02
92,2010-02-03,DL,1927,ATL,DFW,1735,1731.0,-4.0,32.0,1803.0,1900.0,6.0,1906,1906.0,0.0,0.0,,0.0,151.0,155.0,117.0,732.0,,,,,,,02
93,2010-02-04,DL,67,ATL,DFW,1620,1633.0,13.0,20.0,1653.0,1755.0,8.0,1756,1803.0,7.0,0.0,,0.0,156.0,150.0,122.0,732.0,,,,,,,02
