,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2160,2010-04-01T00,60.57,41.86,10.0,0.5,0.21,1018.55,6.4,251.0,,clear-night,Clear,2010,04
2161,2010-04-01T01,59.31,41.15,10.0,0.51,0.21,1018.83,5.69,250.0,,clear-night,Clear,2010,04
2162,2010-04-01T02,57.59,41.8,10.0,0.56,0.21,1018.85,5.78,280.0,,clear-night,Clear,2010,04
2163,2010-04-01T03,56.21,41.51,9.97,0.58,0.0,1018.49,4.98,289.0,,clear-night,Clear,2010,04
2164,2010-04-01T04,55.22,41.07,9.97,0.59,0.0,1017.97,4.96,290.0,,clear-night,Clear,2010,04
2165,2010-04-01T05,53.61,41.31,9.81,0.63,0.0,1017.85,3.1,280.0,,clear-night,Clear,2010,04
2166,2010-04-01T06,50.44,41.56,9.86,0.71,0.0,1018.28,3.05,289.0,,clear-night,Clear,2010,04
2167,2010-04-01T07,49.23,41.47,9.74,0.74,0.21,1018.83,5.0,310.0,,clear-night,Clear,2010,04
2168,2010-04-01T08,48.94,41.73,9.5,0.76,0.22,1019.46,6.83,211.0,,clear-day,Clear,2010,04
2169,2010-04-01T09,56.36,45.75,9.67,0.68,0.01,1020.08,5.36,300.0,,clear-day,Clear,2010,04
2170,2010-04-01T10,63.49,45.52,9.83,0.52,0.01,1020.66,6.6,295.0,,clear-day,Clear,2010,04
2171,2010-04-01T11,69.02,46.85,10.0,0.45,0.01,1021.1,6.52,282.0,,clear-day,Clear,2010,04
2172,2010-04-01T12,73.09,46.19,10.0,0.38,0.0,1021.1,5.96,319.0,,clear-day,Clear,2010,04
2173,2010-04-01T13,76.01,46.24,10.0,0.35,0.0,1020.39,5.67,242.0,,clear-day,Clear,2010,04
2174,2010-04-01T14,77.73,44.06,10.0,0.3,0.01,1019.56,6.45,198.0,,clear-day,Clear,2010,04
2175,2010-04-01T15,80.35,44.57,10.0,0.28,0.0,1018.68,5.9,224.0,,clear-day,Clear,2010,04
2176,2010-04-01T16,80.83,42.42,9.93,0.26,0.0,1017.71,2.6,173.0,,clear-day,Clear,2010,04
2177,2010-04-01T17,81.77,41.2,9.82,0.24,0.0,1017.26,7.9,231.0,,clear-day,Clear,2010,04
2178,2010-04-01T18,81.69,41.46,9.93,0.24,0.0,1016.95,5.14,214.0,,clear-day,Clear,2010,04
2179,2010-04-01T19,81.09,40.72,10.0,0.24,0.0,1016.84,4.52,176.0,,clear-day,Clear,2010,04
2180,2010-04-01T20,77.83,44.23,9.87,0.3,0.54,1016.2,4.89,150.0,,partly-cloudy-night,Partly Cloudy,2010,04
2181,2010-04-01T21,72.17,44.41,10.0,0.37,0.0,1017.11,5.0,200.0,,clear-night,Clear,2010,04
2182,2010-04-01T22,69.15,45.68,10.0,0.43,0.0,1017.44,4.18,222.0,,clear-night,Clear,2010,04
2183,2010-04-01T23,64.85,46.78,10.0,0.52,0.0,1017.7,3.07,220.0,,clear-night,Clear,2010,04
2184,2010-04-02T00,63.36,45.71,9.97,0.53,0.0,1017.53,1.85,220.0,,clear-night,Clear,2010,04
2185,2010-04-02T01,62.38,45.12,9.88,0.53,0.0,1017.62,2.98,238.0,,clear-night,Clear,2010,04
2186,2010-04-02T02,59.88,45.06,9.86,0.58,0.0,1017.33,4.93,220.0,,clear-night,Clear,2010,04
2187,2010-04-02T03,58.04,45.28,9.86,0.62,0.21,1016.91,0.92,237.0,,clear-night,Clear,2010,04
2188,2010-04-02T04,57.46,44.28,9.5,0.61,0.0,1016.53,1.87,240.0,,clear-night,Clear,2010,04
2189,2010-04-02T05,55.84,43.35,9.72,0.63,0.0,1016.58,3.0,220.0,,clear-night,Clear,2010,04
2190,2010-04-02T06,54.75,42.92,9.32,0.64,0.0,1017.06,2.86,220.0,,clear-night,Clear,2010,04
2191,2010-04-02T07,52.72,42.83,9.29,0.69,0.0,1017.75,2.93,230.0,,clear-night,Clear,2010,04
2192,2010-04-02T08,53.07,43.67,8.19,0.7,0.01,1018.31,,,,clear-day,Clear,2010,04
2193,2010-04-02T09,58.59,46.87,8.43,0.65,0.0,1018.64,,,,clear-day,Clear,2010,04
2194,2010-04-02T10,64.06,47.92,8.08,0.56,0.0,1018.92,2.36,107.0,,clear-day,Clear,2010,04
2195,2010-04-02T11,70.72,49.66,8.46,0.47,0.0,1018.99,3.45,173.0,,clear-day,Clear,2010,04
2196,2010-04-02T12,75.1,48.44,8.3,0.39,0.0,1019.15,7.74,174.0,,clear-day,Clear,2010,04
2197,2010-04-02T13,78.08,47.47,8.9,0.34,0.22,1018.71,7.11,199.0,,clear-day,Clear,2010,04
2198,2010-04-02T14,80.02,45.35,9.71,0.3,0.22,1018.16,8.7,178.0,,clear-day,Clear,2010,04
2199,2010-04-02T15,82.49,45.06,9.84,0.27,0.22,1017.77,6.59,172.0,,clear-day,Clear,2010,04
2200,2010-04-02T16,82.8,42.87,9.88,0.25,0.22,1016.79,7.38,168.0,,clear-day,Clear,2010,04
2201,2010-04-02T17,83.68,43.08,9.99,0.24,0.24,1016.32,8.29,166.0,,clear-day,Clear,2010,04
2202,2010-04-02T18,83.32,42.37,9.89,0.24,0.53,1015.94,7.07,183.0,,partly-cloudy-day,Partly Cloudy,2010,04
2203,2010-04-02T19,81.23,41.53,9.78,0.25,0.54,1016.15,7.99,177.0,,partly-cloudy-day,Partly Cloudy,2010,04
2204,2010-04-02T20,71.81,49.59,10.0,0.45,0.57,1017.48,3.31,252.0,,partly-cloudy-night,Partly Cloudy,2010,04
2205,2010-04-02T21,73.72,44.49,9.89,0.35,0.54,1016.48,6.97,150.0,,partly-cloudy-night,Partly Cloudy,2010,04
2206,2010-04-02T22,70.93,45.58,9.87,0.4,0.54,1017.05,6.98,178.0,,partly-cloudy-night,Partly Cloudy,2010,04
2207,2010-04-02T23,68.43,45.52,9.97,0.44,0.53,1017.07,7.41,179.0,,partly-cloudy-night,Partly Cloudy,2010,04
2208,2010-04-03T00,65.83,46.03,9.86,0.49,0.5,1016.95,5.9,179.0,,partly-cloudy-night,Partly Cloudy,2010,04
2209,2010-04-03T01,63.67,46.1,9.9,0.53,0.5,1017.05,4.87,200.0,,partly-cloudy-night,Partly Cloudy,2010,04
2210,2010-04-03T02,62.9,45.63,9.94,0.53,0.5,1016.79,5.63,208.0,,partly-cloudy-night,Partly Cloudy,2010,04
2211,2010-04-03T03,62.79,45.69,9.9,0.54,0.5,1016.64,6.15,227.0,,partly-cloudy-night,Partly Cloudy,2010,04
2212,2010-04-03T04,60.96,45.69,9.94,0.57,0.5,1015.98,5.85,218.0,,partly-cloudy-night,Partly Cloudy,2010,04
2213,2010-04-03T05,58.8,46.17,9.94,0.63,0.5,1015.65,4.43,195.0,,partly-cloudy-night,Partly Cloudy,2010,04
2214,2010-04-03T06,57.39,46.93,9.78,0.68,0.5,1015.38,5.42,168.0,,partly-cloudy-night,Partly Cloudy,2010,04
2215,2010-04-03T07,56.41,47.08,9.91,0.71,0.53,1015.6,6.33,169.0,,partly-cloudy-night,Partly Cloudy,2010,04
2216,2010-04-03T08,56.68,47.17,9.69,0.7,0.53,1016.26,2.19,149.0,,partly-cloudy-day,Partly Cloudy,2010,04
2217,2010-04-03T09,60.07,48.67,9.96,0.66,0.53,1016.47,6.39,152.0,,partly-cloudy-day,Partly Cloudy,2010,04
2218,2010-04-03T10,65.37,48.34,10.0,0.54,0.25,1018.03,7.96,202.0,,partly-cloudy-day,Partly Cloudy,2010,04
2219,2010-04-03T11,69.54,46.83,10.0,0.44,0.54,1019.97,15.31,241.0,,partly-cloudy-day,Partly Cloudy,2010,04
2220,2010-04-03T12,71.74,41.58,10.0,0.34,0.53,1019.91,13.85,256.0,,partly-cloudy-day,Partly Cloudy,2010,04
2221,2010-04-03T13,74.33,41.09,10.0,0.3,0.53,1019.39,9.58,223.0,,partly-cloudy-day,Partly Cloudy,2010,04
