FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2011-01-01,DL,2011,ATL,DFW,1600,1559.0,-1.0,23.0,1622.0,1724.0,9.0,1730,1733.0,3.0,0.0,,0.0,150.0,154.0,122.0,732.0,,,,,,
2011-01-02,DL,2011,ATL,DFW,1600,1558.0,-2.0,15.0,1613.0,1718.0,6.0,1730,1724.0,-6.0,0.0,,0.0,150.0,146.0,125.0,732.0,,,,,,
2011-01-03,DL,2011,ATL,DFW,1600,1613.0,13.0,15.0,1628.0,1732.0,6.0,1730,1738.0,8.0,0.0,,0.0,150.0,145.0,124.0,732.0,,,,,,
2011-01-04,DL,1911,ATL,DFW,1740,1752.0,12.0,22.0,1814.0,1901.0,5.0,1912,1906.0,-6.0,0.0,,0.0,152.0,134.0,107.0,732.0,,,,,,
2011-01-04,DL,2011,ATL,DFW,1600,1604.0,4.0,16.0,1620.0,1715.0,9.0,1725,1724.0,-1.0,0.0,,0.0,145.0,140.0,115.0,732.0,,,,,,
2011-01-05,DL,1911,ATL,DFW,1740,1741.0,1.0,20.0,1801.0,1907.0,9.0,1912,1916.0,4.0,0.0,,0.0,152.0,155.0,126.0,732.0,,,,,,
2011-01-05,DL,2011,ATL,DFW,1600,1558.0,-2.0,12.0,1610.0,1715.0,8.0,1725,1723.0,-2.0,0.0,,0.0,145.0,145.0,125.0,732.0,,,,,,
2011-01-06,DL,1911,ATL,DFW,1740,1738.0,-2.0,16.0,1754.0,1845.0,7.0,1912,1852.0,-20.0,0.0,,0.0,152.0,134.0,111.0,732.0,,,,,,
2011-01-06,DL,2011,ATL,DFW,1600,1600.0,0.0,13.0,1613.0,1706.0,10.0,1725,1716.0,-9.0,0.0,,0.0,145.0,136.0,113.0,732.0,,,,,,
2011-01-07,DL,1911,ATL,DFW,1740,1740.0,0.0,16.0,1756.0,1847.0,7.0,1912,1854.0,-18.0,0.0,,0.0,152.0,134.0,111.0,732.0,,,,,,
2011-01-07,DL,2011,ATL,DFW,1600,1600.0,0.0,17.0,1617.0,1712.0,10.0,1725,1722.0,-3.0,0.0,,0.0,145.0,142.0,115.0,732.0,,,,,,
2011-01-08,DL,2011,ATL,DFW,1600,1614.0,14.0,33.0,1647.0,1749.0,6.0,1725,1755.0,30.0,0.0,,0.0,145.0,161.0,122.0,732.0,6.0,0.0,16.0,0.0,8.0,
2011-01-09,DL,1911,ATL,DFW,1740,1736.0,-4.0,16.0,1752.0,1901.0,14.0,1912,1915.0,3.0,0.0,,0.0,152.0,159.0,129.0,732.0,,,,,,
2011-01-09,DL,2011,ATL,DFW,1600,1604.0,4.0,16.0,1620.0,1749.0,10.0,1725,1759.0,34.0,0.0,,0.0,145.0,175.0,149.0,732.0,0.0,0.0,34.0,0.0,0.0,
2011-01-10,DL,1911,ATL,DFW,1740,,,,,,,1912,,,1.0,B,0.0,152.0,,,732.0,,,,,,
2011-01-10,DL,2011,ATL,DFW,1600,,,,,,,1725,,,1.0,B,0.0,145.0,,,732.0,,,,,,
2011-01-11,DL,1911,ATL,DFW,1740,,,,,,,1912,,,1.0,B,0.0,152.0,,,732.0,,,,,,
2011-01-11,DL,2011,ATL,DFW,1600,,,,,,,1725,,,1.0,B,0.0,145.0,,,732.0,,,,,,
2011-01-12,DL,1911,ATL,DFW,1740,1833.0,53.0,25.0,1858.0,1959.0,6.0,1912,2005.0,53.0,0.0,,0.0,152.0,152.0,121.0,732.0,0.0,0.0,0.0,0.0,53.0,
2011-01-12,DL,2011,ATL,DFW,1600,1645.0,45.0,44.0,1729.0,1829.0,5.0,1725,1834.0,69.0,0.0,,0.0,145.0,169.0,120.0,732.0,30.0,0.0,24.0,0.0,15.0,
2011-01-13,DL,1911,ATL,DFW,1740,1740.0,0.0,23.0,1803.0,1855.0,6.0,1912,1901.0,-11.0,0.0,,0.0,152.0,141.0,112.0,732.0,,,,,,
2011-01-13,DL,2011,ATL,DFW,1600,1600.0,0.0,18.0,1618.0,1707.0,3.0,1725,1710.0,-15.0,0.0,,0.0,145.0,130.0,109.0,732.0,,,,,,
2011-01-14,DL,1911,ATL,DFW,1740,1750.0,10.0,20.0,1810.0,1908.0,8.0,1912,1916.0,4.0,0.0,,0.0,152.0,146.0,118.0,732.0,,,,,,
2011-01-14,DL,2011,ATL,DFW,1600,1606.0,6.0,12.0,1618.0,1711.0,8.0,1725,1719.0,-6.0,0.0,,0.0,145.0,133.0,113.0,732.0,,,,,,
2011-01-15,DL,2011,ATL,DFW,1600,1556.0,-4.0,14.0,1610.0,1702.0,4.0,1725,1706.0,-19.0,0.0,,0.0,145.0,130.0,112.0,732.0,,,,,,
2011-01-16,DL,1911,ATL,DFW,1740,1743.0,3.0,23.0,1806.0,1859.0,6.0,1912,1905.0,-7.0,0.0,,0.0,152.0,142.0,113.0,732.0,,,,,,
2011-01-16,DL,2011,ATL,DFW,1600,1558.0,-2.0,12.0,1610.0,1704.0,9.0,1725,1713.0,-12.0,0.0,,0.0,145.0,135.0,114.0,732.0,,,,,,
2011-01-17,DL,1911,ATL,DFW,1740,1740.0,0.0,17.0,1757.0,1855.0,13.0,1912,1908.0,-4.0,0.0,,0.0,152.0,148.0,118.0,732.0,,,,,,
2011-01-17,DL,2011,ATL,DFW,1600,1558.0,-2.0,17.0,1615.0,1718.0,8.0,1725,1726.0,1.0,0.0,,0.0,145.0,148.0,123.0,732.0,,,,,,
2011-01-18,DL,1911,ATL,DFW,1740,1740.0,0.0,17.0,1757.0,1903.0,8.0,1912,1911.0,-1.0,0.0,,0.0,152.0,151.0,126.0,732.0,,,,,,
2011-01-18,DL,2011,ATL,DFW,1600,1618.0,18.0,21.0,1639.0,1738.0,10.0,1725,1748.0,23.0,0.0,,0.0,145.0,150.0,119.0,732.0,18.0,0.0,5.0,0.0,0.0,
2011-01-19,DL,1911,ATL,DFW,1740,1738.0,-2.0,20.0,1758.0,1858.0,4.0,1912,1902.0,-10.0,0.0,,0.0,152.0,144.0,120.0,732.0,,,,,,
2011-01-19,DL,2011,ATL,DFW,1600,1702.0,62.0,16.0,1718.0,1819.0,8.0,1725,1827.0,62.0,0.0,,0.0,145.0,145.0,121.0,732.0,0.0,0.0,0.0,0.0,62.0,
2011-01-20,DL,1911,ATL,DFW,1740,1739.0,-1.0,15.0,1754.0,1853.0,5.0,1912,1858.0,-14.0,0.0,,0.0,152.0,139.0,119.0,732.0,,,,,,
2011-01-20,DL,2011,ATL,DFW,1600,1558.0,-2.0,21.0,1619.0,1717.0,11.0,1725,1728.0,3.0,0.0,,0.0,145.0,150.0,118.0,732.0,,,,,,
2011-01-21,DL,1911,ATL,DFW,1740,1745.0,5.0,27.0,1812.0,1912.0,6.0,1912,1918.0,6.0,0.0,,0.0,152.0,153.0,120.0,732.0,,,,,,
2011-01-21,DL,2011,ATL,DFW,1600,1559.0,-1.0,17.0,1616.0,1716.0,5.0,1725,1721.0,-4.0,0.0,,0.0,145.0,142.0,120.0,732.0,,,,,,
2011-01-22,DL,2011,ATL,DFW,1600,1720.0,80.0,25.0,1745.0,1840.0,5.0,1725,1845.0,80.0,0.0,,0.0,145.0,145.0,115.0,732.0,80.0,0.0,0.0,0.0,0.0,
2011-01-23,DL,1911,ATL,DFW,1740,1740.0,0.0,29.0,1809.0,1907.0,12.0,1912,1919.0,7.0,0.0,,0.0,152.0,159.0,118.0,732.0,,,,,,
