FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2010-01-01,MQ,4438,LGA,RDU,1940,2101,81,14,2115,2225,22,2130,2247,77,0,,0,110,106,70,431,0,0,0,0,77
2010-01-01,MQ,4440,DCA,JFK,950,949,-1,13,1002,1040,9,1100,1049,-11,0,,0,70,60,38,213,,,,,
2010-01-01,MQ,4443,LGA,RDU,900,937,37,11,948,1105,3,1100,1108,8,0,,0,120,91,77,431,,,,,
2010-01-01,MQ,4445,RDU,LGA,1940,1935,-5,12,1947,2051,4,2120,2055,-25,0,,0,100,80,64,431,,,,,
2010-01-01,MQ,4447,JFK,DCA,2035,2236,121,18,2254,2341,1,2200,2342,102,0,,0,85,66,47,213,0,0,0,0,102
2010-01-01,MQ,4448,DCA,JFK,600,557,-3,10,607,646,6,710,652,-18,0,,0,70,55,39,213,,,,,
2010-01-01,MQ,4449,RDU,LGA,1745,1739,-6,12,1751,1851,19,1930,1910,-20,0,,0,105,91,60,431,,,,,
2010-01-01,MQ,4450,DCA,JFK,1425,1420,-5,17,1437,1536,6,1545,1542,-3,0,,0,80,82,59,213,,,,,
2010-01-01,MQ,4454,DCA,JFK,1605,1601,-4,27,1628,1717,8,1730,1725,-5,0,,0,85,84,49,213,,,,,
2010-01-01,MQ,4455,JFK,DCA,1615,1622,7,21,1643,1732,5,1750,1737,-13,0,,0,95,75,49,213,,,,,
2010-01-01,MQ,4456,DCA,JFK,2025,2023,-2,11,2034,2119,5,2140,2124,-16,0,,0,75,61,45,213,,,,,
2010-01-01,MQ,4461,JFK,DCA,2235,2238,3,23,2301,2348,4,2355,2352,-3,0,,0,80,74,47,213,,,,,
2010-01-01,MQ,4464,LGA,BOS,645,638,-7,35,713,746,7,750,753,3,0,,0,65,75,33,185,,,,,
2010-01-01,MQ,4469,JFK,DCA,1025,1024,-1,23,1047,1139,3,1145,1142,-3,0,,0,80,78,52,213,,,,,
2010-01-01,MQ,4473,LGA,BOS,1905,1857,-8,11,1908,1942,6,2020,1948,-32,0,,0,75,51,34,185,,,,,
2010-01-01,MQ,4475,RDU,LGA,1840,1835,-5,12,1847,1949,4,2025,1953,-32,0,,0,105,78,62,431,,,,,
2010-01-01,MQ,4476,DCA,JFK,1155,1152,-3,15,1207,1248,7,1300,1255,-5,0,,0,65,63,41,213,,,,,
2010-01-01,MQ,4477,LGA,RDU,1250,1241,-9,17,1258,1424,5,1435,1429,-6,0,,0,105,108,86,431,,,,,
2010-01-01,MQ,4480,DCA,BOS,1230,1223,-7,10,1233,1328,5,1355,1333,-22,0,,0,85,70,55,399,,,,,
2010-01-01,MQ,4482,LGA,RDU,1620,1617,-3,13,1630,1747,4,1810,1751,-19,0,,0,110,94,77,431,,,,,
2010-01-01,MQ,4483,DCA,BOS,1815,1809,-6,10,1819,1918,8,1940,1926,-14,0,,0,85,77,59,399,,,,,
2010-01-01,MQ,4484,LGA,BNA,1110,1103,-7,9,1112,1218,12,1250,1230,-20,0,,0,160,147,126,764,,,,,
2010-01-01,MQ,4485,LGA,DTW,1430,1420,-10,9,1429,1549,6,1645,1555,-50,0,,0,135,95,80,501,,,,,
2010-01-01,MQ,4486,RDU,LGA,1125,1210,45,13,1223,1329,4,1305,1333,28,0,,0,100,83,66,431,0,0,0,0,28
2010-01-01,MQ,4487,BOS,RDU,1720,1713,-7,9,1722,1916,5,1930,1921,-9,0,,0,130,128,114,612,,,,,
