CANCELLED,temperature_ORIGIN,dewPoint_ORIGIN,visibility_ORIGIN,humidity_ORIGIN,cloudCover_ORIGIN,pressure_ORIGIN,windSpeed_ORIGIN,windBearing_ORIGIN,DEP_DELAY_ORIGIN_1,DEP_DELAY_ORIGIN_2,DEP_DELAY_ORIGIN_3,DEP_DELAY_ORIGIN_4,DEP_DELAY_ORIGIN_5,DEP_DELAY_ORIGIN_6,DEP_DELAY_ORIGIN_7,DEP_DELAY_ORIGIN_8,DEP_DELAY_ORIGIN_9,DEP_DELAY_ORIGIN_10,DEP_DELAY_ORIGIN_11,DEP_DELAY_ORIGIN_12,DEP_DELAY_ORIGIN_13,DEP_DELAY_ORIGIN_14,DEP_DELAY_ORIGIN_15,DEP_DELAY_ORIGIN_16,DEP_DELAY_ORIGIN_17,DEP_DELAY_ORIGIN_18,DEP_DELAY_ORIGIN_19,DEP_DELAY_ORIGIN_20,DEP_DELAY_CARRIER_1,DEP_DELAY_CARRIER_2,DEP_DELAY_CARRIER_3,DEP_DELAY_CARRIER_4,DEP_DELAY_CARRIER_5,DEP_DELAY_CARRIER_ORIGIN_1,DEP_DELAY_CARRIER_ORIGIN_2,DEP_DELAY_CARRIER_ORIGIN_3,DEP_DELAY_CARRIER_ORIGIN_4,DEP_DELAY_CARRIER_ORIGIN_5,DEP_DELAY_CARRIER_ORIGIN_6,DEP_DELAY_CARRIER_ORIGIN_7,DEP_DELAY_CARRIER_ORIGIN_8,DEP_DELAY_CARRIER_ORIGIN_9,DEP_DELAY_CARRIER_ORIGIN_10,DEP_DELAY_DEST_1,DEP_DELAY_DEST_2,DEP_DELAY_DEST_3,DEP_DELAY_DEST_4,DEP_DELAY_DEST_5,DEP_DELAY_DEST_6,DEP_DELAY_DEST_7,DEP_DELAY_DEST_8,DEP_DELAY_DEST_9,DEP_DELAY_DEST_10,DEP_DELAY_DEST_11,DEP_DELAY_DEST_12,DEP_DELAY_DEST_13,DEP_DELAY_DEST_14,DEP_DELAY_DEST_15,temperature_DEST,dewPoint_DEST,visibility_DEST,humidity_DEST,cloudCover_DEST,pressure_DEST,windSpeed_DEST,windBearing_DEST
0.0,46.16,25.04,10.0,0.43,0.01,1019.16,18.04,334.0,9.0,-4.0,-4.0,2.0,6.0,-7.0,26.0,-1.0,51.0,16.0,0.0,,0.0,-4.0,1.0,91.0,-1.0,-2.0,-7.0,-6.0,0.0,-8.0,-2.0,-5.0,73.0,0.0,-8.0,-2.0,-5.0,73.0,1440,1440,1440,1440,1440,-9.0,,-9.0,-5.0,-4.0,-4.0,31.0,79.0,-9.0,2.0,-1.0,2.0,-6.0,16.0,15.0,49.53,22.51,10.0,0.34,0.19,1028.18,4.85,165.0
0.0,46.16,25.04,10.0,0.43,0.01,1019.16,18.04,334.0,9.0,-4.0,-4.0,2.0,6.0,-7.0,26.0,-1.0,51.0,16.0,0.0,,0.0,-4.0,1.0,91.0,-1.0,-2.0,-7.0,-6.0,0.0,-8.0,-2.0,-5.0,73.0,0.0,-8.0,-2.0,-5.0,73.0,1440,1440,1440,1440,1440,-9.0,,-9.0,-5.0,-4.0,-4.0,31.0,79.0,-9.0,2.0,-1.0,2.0,-6.0,16.0,15.0,49.53,22.51,10.0,0.34,0.19,1028.18,4.85,165.0
0.0,46.16,25.04,10.0,0.43,0.01,1019.16,18.04,334.0,9.0,-4.0,-4.0,2.0,6.0,-7.0,26.0,-1.0,51.0,16.0,0.0,,0.0,-4.0,1.0,91.0,-1.0,-2.0,-7.0,-6.0,0.0,-8.0,-2.0,-5.0,73.0,0.0,-8.0,-2.0,-5.0,73.0,1440,1440,1440,1440,1440,-9.0,,-9.0,-5.0,-4.0,-4.0,31.0,79.0,-9.0,2.0,-1.0,2.0,-6.0,16.0,15.0,49.53,22.51,10.0,0.34,0.19,1028.18,4.85,165.0
0.0,33.13,11.15,10.0,0.39,0.0,1024.03,14.36,335.0,23.0,5.0,-5.0,62.0,3.0,19.0,-4.0,-5.0,25.0,-3.0,20.0,6.0,-3.0,35.0,0.0,6.0,-3.0,-10.0,3.0,3.0,-3.0,-4.0,-4.0,28.0,-6.0,-3.0,-4.0,-4.0,28.0,-6.0,1440,1440,1440,1440,1440,-1.0,-4.0,20.0,14.0,68.0,0.0,0.0,66.0,-4.0,0.0,0.0,2.0,-1.0,15.0,-3.0,52.31,29.44,10.0,0.41,0.2,1023.99,8.45,144.0
0.0,33.13,11.15,10.0,0.39,0.0,1024.03,14.36,335.0,23.0,5.0,-5.0,62.0,3.0,19.0,-4.0,-5.0,25.0,-3.0,20.0,6.0,-3.0,35.0,0.0,6.0,-3.0,-10.0,3.0,3.0,-3.0,-4.0,-4.0,28.0,-6.0,-3.0,-4.0,-4.0,28.0,-6.0,1440,1440,1440,1440,1440,-1.0,-4.0,20.0,14.0,68.0,0.0,0.0,66.0,-4.0,0.0,0.0,2.0,-1.0,15.0,-3.0,52.31,29.44,10.0,0.41,0.2,1023.99,8.45,144.0
0.0,33.13,11.15,10.0,0.39,0.0,1024.03,14.36,335.0,23.0,5.0,-5.0,62.0,3.0,19.0,-4.0,-5.0,25.0,-3.0,20.0,6.0,-3.0,35.0,0.0,6.0,-3.0,-10.0,3.0,3.0,-3.0,-4.0,-4.0,28.0,-6.0,-3.0,-4.0,-4.0,28.0,-6.0,1440,1440,1440,1440,1440,-1.0,-4.0,20.0,14.0,68.0,0.0,0.0,66.0,-4.0,0.0,0.0,2.0,-1.0,15.0,-3.0,52.31,29.44,10.0,0.41,0.2,1023.99,8.45,144.0
0.0,33.22,3.3,10.0,0.28,0.22,1021.1,13.65,327.0,22.0,3.0,150.0,-2.0,-4.0,233.0,7.0,0.0,13.0,-4.0,23.0,0.0,0.0,8.0,-1.0,15.0,3.0,7.0,129.0,-4.0,1440,1440,1440,1440,1440,-3.0,-2.0,-1.0,12.0,13.0,1440,1440,1440,1440,1440,-2.0,13.0,-2.0,-9.0,13.0,,35.0,-7.0,0.0,2.0,39.0,90.0,5.0,8.0,53.0,45.23,33.63,10.0,0.64,0.97,1024.62,10.45,9.0
0.0,33.22,3.3,10.0,0.28,0.22,1021.1,13.65,327.0,22.0,3.0,150.0,-2.0,-4.0,233.0,7.0,0.0,13.0,-4.0,23.0,0.0,0.0,8.0,-1.0,15.0,3.0,7.0,129.0,-4.0,1440,1440,1440,1440,1440,-3.0,-2.0,-1.0,12.0,13.0,1440,1440,1440,1440,1440,-2.0,13.0,-2.0,-9.0,13.0,,35.0,-7.0,0.0,2.0,39.0,90.0,5.0,8.0,53.0,45.23,33.63,10.0,0.64,0.97,1024.62,10.45,9.0
0.0,33.22,3.3,10.0,0.28,0.22,1021.1,13.65,327.0,22.0,3.0,150.0,-2.0,-4.0,233.0,7.0,0.0,13.0,-4.0,23.0,0.0,0.0,8.0,-1.0,15.0,3.0,7.0,129.0,-4.0,1440,1440,1440,1440,1440,-3.0,-2.0,-1.0,12.0,13.0,1440,1440,1440,1440,1440,-2.0,13.0,-2.0,-9.0,13.0,,35.0,-7.0,0.0,2.0,39.0,90.0,5.0,8.0,53.0,45.23,33.63,10.0,0.64,0.97,1024.62,10.45,9.0
0.0,30.52,11.95,10.0,0.45,0.72,1020.04,15.11,310.0,0.0,12.0,8.0,17.0,60.0,-10.0,-3.0,-4.0,-3.0,13.0,1.0,4.0,6.0,14.0,15.0,-3.0,-8.0,-3.0,26.0,-5.0,1440,1440,1440,1440,1440,0.0,-5.0,-8.0,14.0,-3.0,1440,1440,1440,1440,1440,4.0,6.0,0.0,2.0,-1.0,6.0,11.0,-7.0,-2.0,20.0,190.0,68.0,7.0,14.0,0.0,37.96,20.67,9.89,0.49,0.23,1031.64,12.34,338.0
